      timestep,PE,KE
22000,4.0207612e+35,2.0412179e+35
22100,3.9924018e+35,2.0128436e+35
22200,3.9606566e+35,1.9810975e+35
22300,3.928094e+35,1.9485322e+35
22400,3.8996161e+35,1.9200424e+35
22500,3.8707158e+35,1.8911497e+35
22600,3.8449023e+35,1.8653364e+35
22700,3.8295533e+35,1.8499771e+35
22800,3.8120146e+35,1.832453e+35
22900,3.8011254e+35,1.821567e+35
23000,3.8015347e+35,1.8219728e+35
23100,3.7991318e+35,1.819587e+35
23200,3.8088464e+35,1.8293059e+35
23300,3.8240628e+35,1.8445278e+35
23400,3.837855e+35,1.8583388e+35
23500,3.8654551e+35,1.8859455e+35
23600,3.8921579e+35,1.9126683e+35
23700,3.9218503e+35,1.9423832e+35
23800,3.959901e+35,1.9804456e+35
23900,3.9910093e+35,2.0115928e+35
24000,4.026672e+35,2.0472874e+35
24100,4.063284e+35,2.0839275e+35
24200,4.08968e+35,2.1103889e+35
24300,4.1152031e+35,2.1359637e+35
24400,4.1344156e+35,2.1552392e+35
24500,4.1425903e+35,2.1635103e+35
24600,4.145411e+35,2.166421e+35
24700,4.1401012e+35,2.1612172e+35
24800,4.1233521e+35,2.1445742e+35
24900,4.1024961e+35,2.1237926e+35
25000,4.077345e+35,2.098683e+35
25100,4.0446045e+35,2.0659221e+35
25200,4.014514e+35,2.0357661e+35
25300,3.9809785e+35,2.0021556e+35
25400,3.9462992e+35,1.9673851e+35
25500,3.922104e+35,1.943099e+35
25600,3.8930398e+35,1.91397e+35
25700,3.8698283e+35,1.8906919e+35
25800,3.8572052e+35,1.8780056e+35
25900,3.8400153e+35,1.8607755e+35
26000,3.8357187e+35,1.8564353e+35
26100,3.8369825e+35,1.8576576e+35
26200,3.8367904e+35,1.8574379e+35
26300,3.8499908e+35,1.8706076e+35
26400,3.8642913e+35,1.8848824e+35
26500,3.882976e+35,1.903545e+35
26600,3.9100881e+35,1.9306316e+35
26700,3.9348967e+35,1.9554254e+35
26800,3.9647051e+35,1.9852172e+35
26900,3.9981338e+35,2.0186232e+35
27000,4.0272698e+35,2.0477556e+35
27100,4.0556235e+35,2.0760958e+35
27200,4.0826603e+35,2.1031151e+35
27300,4.1004134e+35,2.1208707e+35
27400,4.1128393e+35,2.1332885e+35
27500,4.1214319e+35,2.1418743e+35
27600,4.1147618e+35,2.1352067e+35
27700,4.1031646e+35,2.1236069e+35
27800,4.0868174e+35,2.107263e+35
27900,4.0575716e+35,2.0780195e+35
28000,4.0303381e+35,2.0507899e+35
28100,3.9964027e+35,2.0168645e+35
28200,3.9579511e+35,1.9784199e+35
28300,3.9284899e+35,1.9489657e+35
28400,3.8924696e+35,1.9129612e+35
28500,3.8617117e+35,1.8822171e+35
28600,3.8395434e+35,1.8600586e+35
28700,3.8128953e+35,1.8334342e+35
28800,3.7985672e+35,1.8191263e+35
28900,3.7901544e+35,1.810727e+35
29000,3.7813121e+35,1.8019149e+35
29100,3.7841194e+35,1.8047516e+35
29200,3.7909566e+35,1.8116151e+35
29300,3.8022992e+35,1.822999e+35
29400,3.8221064e+35,1.8428496e+35
29500,3.8445315e+35,1.865323e+35
29600,3.8706026e+35,1.8914568e+35
29700,3.9032716e+35,1.9241882e+35
29800,3.9367708e+35,1.957759e+35
29900,3.9697425e+35,1.9907964e+35
30000,4.0069482e+35,2.0280359e+35
30100,4.0371033e+35,2.0582069e+35
30200,4.0640662e+35,2.0851396e+35
30300,4.0922331e+35,2.113235e+35
30400,4.1042554e+35,2.1251907e+35
30500,4.1127003e+35,2.1335589e+35
30600,4.1162005e+35,2.1369825e+35
30700,4.1035173e+35,2.1242435e+35
30800,4.091776e+35,2.1124521e+35
30900,4.070053e+35,2.0906843e+35
31000,4.0401731e+35,2.0607712e+35
31100,4.0152685e+35,2.0358368e+35
31200,3.9820524e+35,2.0025966e+35
31300,3.9515912e+35,1.9721187e+35
31400,3.9258894e+35,1.9463958e+35
31500,3.895864e+35,1.9163628e+35
31600,3.8747576e+35,1.89525e+35
31700,3.8591592e+35,1.8796327e+35
31800,3.8435889e+35,1.8640656e+35
31900,3.8360752e+35,1.856553e+35
32000,3.8350292e+35,1.8554932e+35
32100,3.8364367e+35,1.8569083e+35
32200,3.8457041e+35,1.8661767e+35
32300,3.8613427e+35,1.8818079e+35
32400,3.877229e+35,1.8977014e+35
32500,3.9020051e+35,1.9224734e+35
32600,3.9303552e+35,1.9508227e+35
32700,3.9577894e+35,1.9782632e+35
32800,3.9938261e+35,2.0142885e+35
32900,4.0242836e+35,2.0447533e+35
33000,4.0542992e+35,2.0747742e+35
33100,4.0894624e+35,2.1099259e+35
33200,4.1103463e+35,2.1308267e+35
33300,4.1304159e+35,2.1509026e+35
33400,4.1461046e+35,2.1665874e+35
33500,4.1455504e+35,2.1660547e+35
33600,4.1449377e+35,2.1654536e+35
33700,4.1329898e+35,2.1535169e+35
33800,4.1098656e+35,2.1304178e+35
33900,4.0865838e+35,2.1071558e+35
34000,4.0540773e+35,2.0746742e+35
34100,4.0199938e+35,2.0406263e+35
34200,3.9867366e+35,2.0073992e+35
34300,3.949308e+35,1.9700163e+35
34400,3.915604e+35,1.9363654e+35
34500,3.8872813e+35,1.9080866e+35
34600,3.8590866e+35,1.8799645e+35
34700,3.8355598e+35,1.8565137e+35
34800,3.820888e+35,1.8419046e+35
34900,3.8062264e+35,1.8273328e+35
35000,3.7996991e+35,1.8208727e+35
35100,3.8027543e+35,1.8239618e+35
35200,3.80329e+35,1.8245176e+35
35300,3.8152578e+35,1.8364502e+35
35400,3.8325623e+35,1.8536919e+35
35500,3.8494428e+35,1.8705045e+35
35600,3.8786495e+35,1.8996188e+35
35700,3.9042538e+35,1.9251516e+35
35800,3.9326708e+35,1.9535025e+35
35900,3.9692968e+35,1.9900538e+35
36000,3.9963939e+35,2.0171111e+35
36100,4.0265982e+35,2.0472654e+35
36200,4.0547869e+35,2.0754009e+35
36300,4.0707225e+35,2.091318e+35
36400,4.0870079e+35,2.1075667e+35
36500,4.0943868e+35,2.1149147e+35
36600,4.0899612e+35,2.110478e+35
36700,4.0814079e+35,2.1019001e+35
36800,4.0644844e+35,2.0849618e+35
36900,4.0406988e+35,2.0611677e+35
37000,4.0146312e+35,2.0350851e+35
37100,3.9839681e+35,2.0044184e+35
37200,3.9503671e+35,1.9708125e+35
37300,3.9216518e+35,1.9420857e+35
37400,3.8916298e+35,1.9120685e+35
37500,3.8630069e+35,1.8834448e+35
37600,3.8441257e+35,1.8645529e+35
37700,3.8222365e+35,1.8426782e+35
37800,3.808586e+35,1.8290292e+35
37900,3.8056429e+35,1.8260801e+35
38000,3.7983283e+35,1.8187831e+35
38100,3.8036532e+35,1.824112e+35
38200,3.81449e+35,1.8349541e+35
38300,3.8253323e+35,1.8458148e+35
38400,3.8498131e+35,1.8703016e+35
38500,3.8725717e+35,1.8930788e+35
38600,3.8995655e+35,1.9200921e+35
38700,3.9353982e+35,1.9559369e+35
38800,3.966678e+35,1.9872515e+35
38900,4.0029346e+35,2.0235328e+35
39000,4.0394633e+35,2.0600845e+35
39100,4.0685389e+35,2.0892126e+35
39200,4.0978954e+35,2.1186079e+35
39300,4.1227459e+35,2.1435056e+35
39400,4.1365624e+35,2.1573952e+35
39500,4.1439799e+35,2.1648815e+35
39600,4.1450641e+35,2.1660521e+35
39700,4.1338747e+35,2.1549612e+35
39800,4.1183014e+35,2.1394858e+35
39900,4.0968562e+35,2.1181324e+35
40000,4.065062e+35,2.0863897e+35
40100,4.0365233e+35,2.0578511e+35
40200,4.003327e+35,2.0246111e+35
40300,3.9679983e+35,1.9892007e+35
40400,3.9412194e+35,1.9623249e+35
40500,3.9081379e+35,1.9291602e+35
40600,3.8824587e+35,1.9033987e+35
40700,3.8663065e+35,1.8871657e+35
40800,3.8451919e+35,1.8659975e+35
40900,3.8362616e+35,1.8570142e+35
41000,3.8321677e+35,1.8528685e+35
41100,3.8286025e+35,1.8492704e+35
41200,3.8379333e+35,1.8585658e+35
41300,3.8483019e+35,1.8689026e+35
41400,3.8628621e+35,1.8834404e+35
41500,3.8858501e+35,1.9064031e+35
41600,3.909457e+35,1.9299933e+35
41700,3.9379883e+35,1.9585085e+35
41800,3.9699811e+35,1.9904812e+35
41900,3.9993241e+35,2.0198185e+35
42000,4.0289128e+35,2.0493963e+35
42100,4.0599594e+35,2.0804279e+35
42200,4.0822636e+35,2.1027342e+35
42300,4.0992306e+35,2.1196948e+35
42400,4.113657e+35,2.1341127e+35
42500,4.1130036e+35,2.133461e+35
42600,4.1087014e+35,2.1291571e+35
42700,4.0982713e+35,2.1187236e+35
42800,4.0726173e+35,2.0930701e+35
42900,4.0488109e+35,2.0692638e+35
43000,4.017212e+35,2.0376629e+35
43100,3.9808055e+35,2.0012584e+35
43200,3.9508021e+35,1.971257e+35
43300,3.912502e+35,1.9329614e+35
43400,3.8800397e+35,1.9005071e+35
43500,3.8549187e+35,1.8753866e+35
43600,3.8259417e+35,1.8464257e+35
43700,3.8076763e+35,1.8281757e+35
43800,3.793988e+35,1.8144924e+35
43900,3.7816516e+35,1.8021836e+35
44000,3.7804037e+35,1.8009606e+35
44100,3.783895e+35,1.8044693e+35
44200,3.7906883e+35,1.8113013e+35
44300,3.8054431e+35,1.8260935e+35
44400,3.8255239e+35,1.8462151e+35
44500,3.8488897e+35,1.869638e+35
44600,3.8794668e+35,1.9002716e+35
44700,3.9111498e+35,1.932025e+35
44800,3.9428101e+35,1.9637632e+35
44900,3.9815887e+35,2.0026061e+35
45000,4.0141238e+35,2.0352071e+35
45100,4.0445649e+35,2.0656766e+35
45200,4.0764726e+35,2.0975595e+35
45300,4.0932873e+35,2.1143346e+35
45400,4.1090487e+35,2.1300293e+35
45500,4.1191083e+35,2.1400068e+35
45600,4.1122505e+35,2.1330871e+35
45700,4.105343e+35,2.1261209e+35
45800,4.0878345e+35,2.108555e+35
45900,4.0625529e+35,2.0832348e+35
46000,4.0395376e+35,2.0601834e+35
46100,4.0067716e+35,2.0273846e+35
46200,3.9757033e+35,1.9962952e+35
46300,3.9481375e+35,1.9686994e+35
46400,3.9174123e+35,1.9379577e+35
46500,3.8934799e+35,1.9140132e+35
46600,3.8735343e+35,1.8940386e+35
46700,3.8543383e+35,1.8748399e+35
46800,3.8428563e+35,1.8633505e+35
46900,3.8389285e+35,1.8593989e+35
47000,3.8359403e+35,1.8564144e+35
47100,3.8400753e+35,1.8605427e+35
47200,3.8521934e+35,1.8726485e+35
47300,3.8644366e+35,1.8848979e+35
47400,3.8867411e+35,1.9071939e+35
47500,3.9119608e+35,1.9324117e+35
47600,3.9362491e+35,1.9567065e+35
47700,3.9711844e+35,1.9916327e+35
47800,4.0015817e+35,2.0220395e+35
47900,4.0332633e+35,2.0537273e+35
48000,4.0693817e+35,2.0898376e+35
48100,4.0926579e+35,2.1131324e+35
48200,4.1179588e+35,2.1384408e+35
48300,4.1389417e+35,2.1594227e+35
48400,4.1449363e+35,2.1654412e+35
48500,4.1495442e+35,2.1700607e+35
48600,4.1428263e+35,2.1633519e+35
48700,4.1260491e+35,2.1466005e+35
48800,4.1069888e+35,2.1275574e+35
48900,4.0781307e+35,2.0987197e+35
49000,4.0451863e+35,2.0658079e+35
49100,4.0117674e+35,2.032412e+35
49200,3.9753903e+35,1.9960704e+35
49300,3.9404073e+35,1.9611313e+35
49400,3.909533e+35,1.9302896e+35
49500,3.8780011e+35,1.8988183e+35
49600,3.8509258e+35,1.8718034e+35
49700,3.8337314e+35,1.8546583e+35
49800,3.81524e+35,1.8362509e+35
49900,3.8043306e+35,1.8254109e+35
50000,3.8029146e+35,1.8240513e+35
50100,3.7994273e+35,1.8206271e+35
50200,3.8087403e+35,1.8299518e+35
50300,3.8223834e+35,1.8435735e+35
50400,3.8354814e+35,1.8566251e+35
50500,3.8613884e+35,1.8824465e+35
50600,3.8851181e+35,1.9060976e+35
50700,3.9134529e+35,1.9343495e+35
50800,3.9487436e+35,1.9695537e+35
50900,3.9759415e+35,1.9966975e+35
51000,4.0080997e+35,2.028793e+35
51100,4.0390918e+35,2.0597273e+35
51200,4.0604512e+35,2.0810603e+35
51300,4.0810178e+35,2.101587e+35
51400,4.0932659e+35,2.1138008e+35
51500,4.0952853e+35,2.1158059e+35
51600,4.0924912e+35,2.1129884e+35
51700,4.0818787e+35,2.1023596e+35
51800,4.0615194e+35,2.0819913e+35
51900,4.0376526e+35,2.0581112e+35
52000,4.0100052e+35,2.030457e+35
52100,3.9774021e+35,1.9978485e+35
52200,3.9487403e+35,1.9691762e+35
52300,3.9166929e+35,1.9371322e+35
52400,3.8855447e+35,1.9059821e+35
52500,3.8645948e+35,1.8850215e+35
52600,3.8398015e+35,1.8602402e+35
52700,3.8229846e+35,1.8434242e+35
52800,3.8150361e+35,1.8354695e+35
52900,3.8035204e+35,1.8239717e+35
53000,3.8058046e+35,1.8262583e+35
53100,3.8126817e+35,1.8331388e+35
53200,3.819783e+35,1.8402553e+35
53300,3.8393446e+35,1.8598214e+35
53400,3.8588846e+35,1.8793746e+35
53500,3.884263e+35,1.9047654e+35
53600,3.9172539e+35,1.9377637e+35
53700,3.9471406e+35,1.9676738e+35
53800,3.9821605e+35,2.0027081e+35
53900,4.0188877e+35,2.0394521e+35
54000,4.0512044e+35,2.0718062e+35
54100,4.0830898e+35,2.1037209e+35
54200,4.1113709e+35,2.1320374e+35
54300,4.1299251e+35,2.1506476e+35
54400,4.1430925e+35,2.1638728e+35
54500,4.1513444e+35,2.1721952e+35
54600,4.1453279e+35,2.1662659e+35
54700,4.1341283e+35,2.1551641e+35
54800,4.1170923e+35,2.1382326e+35
54900,4.0887677e+35,2.1100094e+35
55000,4.0629207e+35,2.0842401e+35
55100,4.0298282e+35,2.0511809e+35
55200,3.9935304e+35,2.0148629e+35
55300,3.9650861e+35,1.9863502e+35
55400,3.9302166e+35,1.9513975e+35
55500,3.9024968e+35,1.9235872e+35
55600,3.88137e+35,1.9023652e+35
55700,3.856057e+35,1.876983e+35
55800,3.8434134e+35,1.8642726e+35
55900,3.8351544e+35,1.8559468e+35
56000,3.8280738e+35,1.8488237e+35
56100,3.8316027e+35,1.8523091e+35
56200,3.8376501e+35,1.8583153e+35
56300,3.8491553e+35,1.8697931e+35
56400,3.8683649e+35,1.8889729e+35
