mc,E,M,Cv,chi
742,-0.010781671,8.0053908,256.08614,16.021534
743,-0.01076716,8.0053836,256.08602,16.021505
744,-0.010752688,8.0053763,256.08591,16.021476
745,-0.010738255,8.0053691,256.08579,16.021448
746,-0.010723861,8.0053619,256.08568,16.021419
747,-0.010709505,8.0053548,256.08556,16.02139
748,-0.010695187,8.0053476,256.08545,16.021362
749,-0.010680908,8.0053405,256.08533,16.021333
750,-0.010666667,8.0053333,256.08522,16.021305
751,-0.010652463,8.0053262,256.08511,16.021277
752,-0.010638298,8.0053191,256.08499,16.021248
753,-0.01062417,8.0053121,256.08488,16.02122
754,-0.01061008,8.005305,256.08477,16.021192
755,-0.010596026,8.005298,256.08466,16.021164
756,-0.010582011,8.005291,256.08454,16.021136
757,-0.010568032,8.005284,256.08443,16.021108
758,-0.01055409,8.005277,256.08432,16.02108
759,-0.010540184,8.0052701,256.08421,16.021053
760,-0.010526316,8.0052632,256.0841,16.021025
761,-0.010512484,8.0052562,256.08399,16.020997
762,-0.010498688,8.0052493,256.08388,16.02097
763,-0.010484928,8.0052425,256.08377,16.020942
764,-0.010471204,8.0052356,256.08366,16.020915
765,-0.010457516,8.0052288,256.08355,16.020888
766,-0.010443864,8.0052219,256.08344,16.02086
767,-0.010430248,8.0052151,256.08333,16.020833
768,-0.010416667,8.0052083,256.08322,16.020806
769,-0.010403121,8.0052016,256.08312,16.020779
770,-0.01038961,8.0051948,256.08301,16.020752
771,-0.010376135,8.0051881,256.0829,16.020725
772,-0.010362694,8.0051813,256.08279,16.020699
773,-0.010349288,8.0051746,256.08269,16.020672
774,-0.010335917,8.005168,256.08258,16.020645
775,-0.010322581,8.0051613,256.08247,16.020619
776,-0.010309278,8.0051546,256.08237,16.020592
777,-0.01029601,8.005148,256.08226,16.020566
778,-0.010282776,8.0051414,256.08216,16.020539
779,-0.010269576,8.0051348,256.08205,16.020513
780,-0.01025641,8.0051282,256.08195,16.020487
781,-0.010243278,8.0051216,256.08184,16.02046
782,-0.010230179,8.0051151,256.08174,16.020434
783,-0.010217114,8.0051086,256.08163,16.020408
784,-0.010204082,8.005102,256.08153,16.020382
785,-0.010191083,8.0050955,256.08142,16.020356
786,-0.010178117,8.0050891,256.08132,16.02033
787,-0.010165184,8.0050826,256.08122,16.020305
788,-0.010152284,8.0050761,256.08112,16.020279
789,-0.010139417,8.0050697,256.08101,16.020253
790,-0.010126582,8.0050633,256.08091,16.020228
791,-0.01011378,8.0050569,256.08081,16.020202
792,-0.01010101,8.0050505,256.08071,16.020177
793,-0.010088272,8.0050441,256.0806,16.020151
794,-0.010075567,8.0050378,256.0805,16.020126
795,-0.010062893,8.0050314,256.0804,16.0201
796,-0.010050251,8.0050251,256.0803,16.020075
797,-0.010037641,8.0050188,256.0802,16.02005
798,-0.010025063,8.0050125,256.0801,16.020025
799,-0.010012516,8.0050063,256.08,16.02
800,-0.01,8.005,256.0799,16.019975
801,-0.0099875156,8.0049938,256.0798,16.01995
802,-0.0099750623,8.0049875,256.0797,16.019925
803,-0.0099626401,8.0049813,256.0796,16.0199
804,-0.0099502488,8.0049751,256.0795,16.019876
805,-0.0099378882,8.0049689,256.0794,16.019851
806,-0.0099255583,8.0049628,256.07931,16.019826
807,-0.009913259,8.0049566,256.07921,16.019802
808,-0.0099009901,8.0049505,256.07911,16.019777
809,-0.0098887515,8.0049444,256.07901,16.019753
810,-0.0098765432,8.0049383,256.07891,16.019729
811,-0.009864365,8.0049322,256.07882,16.019704
812,-0.0098522167,8.0049261,256.07872,16.01968
813,-0.0098400984,8.00492,256.07862,16.019656
814,-0.0098280098,8.004914,256.07853,16.019632
815,-0.0098159509,8.004908,256.07843,16.019608
816,-0.0098039216,8.004902,256.07834,16.019584
817,-0.0097919217,8.004896,256.07824,16.01956
818,-0.0097799511,8.00489,256.07814,16.019536
819,-0.0097680098,8.004884,256.07805,16.019512
820,-0.0097560976,8.004878,256.07795,16.019488
821,-0.0097442144,8.0048721,256.07786,16.019465
822,-0.0097323601,8.0048662,256.07776,16.019441
823,-0.0097205346,8.0048603,256.07767,16.019417
824,-0.0097087379,8.0048544,256.07758,16.019394
825,-0.0096969697,8.0048485,256.07748,16.01937
826,-0.00968523,8.0048426,256.07739,16.019347
827,-0.0096735187,8.0048368,256.07729,16.019324
828,-0.0096618357,8.0048309,256.0772,16.0193
829,-0.0096501809,8.0048251,256.07711,16.019277
830,-0.0096385542,8.0048193,256.07702,16.019254
831,-0.0096269555,8.0048135,256.07692,16.019231
832,-0.0096153846,8.0048077,256.07683,16.019208
833,-0.0096038415,8.0048019,256.07674,16.019185
834,-0.0095923261,8.0047962,256.07665,16.019162
835,-0.0095808383,8.0047904,256.07655,16.019139
836,-0.009569378,8.0047847,256.07646,16.019116
837,-0.009557945,8.004779,256.07637,16.019093
838,-0.0095465394,8.0047733,256.07628,16.01907
839,-0.0095351609,8.0047676,256.07619,16.019048
840,-0.0095238095,8.0047619,256.0761,16.019025
841,-0.0095124851,8.0047562,256.07601,16.019002
842,-0.0095011876,8.0047506,256.07592,16.01898
843,-0.009489917,8.004745,256.07583,16.018957
844,-0.009478673,8.0047393,256.07574,16.018935
845,-0.0094674556,8.0047337,256.07565,16.018913
846,-0.0094562648,8.0047281,256.07556,16.01889
847,-0.0094451004,8.0047226,256.07547,16.018868
848,-0.0094339623,8.004717,256.07538,16.018846
849,-0.0094228504,8.0047114,256.07529,16.018824
850,-0.0094117647,8.0047059,256.07521,16.018801
851,-0.0094007051,8.0047004,256.07512,16.018779
852,-0.0093896714,8.0046948,256.07503,16.018757
853,-0.0093786635,8.0046893,256.07494,16.018735
854,-0.0093676815,8.0046838,256.07485,16.018713
855,-0.0093567251,8.0046784,256.07477,16.018692
856,-0.0093457944,8.0046729,256.07468,16.01867
857,-0.0093348891,8.0046674,256.07459,16.018648
858,-0.0093240093,8.004662,256.07451,16.018626
859,-0.0093131548,8.0046566,256.07442,16.018605
860,-0.0093023256,8.0046512,256.07433,16.018583
861,-0.0092915215,8.0046458,256.07425,16.018561
862,-0.0092807425,8.0046404,256.07416,16.01854
863,-0.0092699884,8.004635,256.07407,16.018518
864,-0.0092592593,8.0046296,256.07399,16.018497
865,-0.0092485549,8.0046243,256.0739,16.018476
866,-0.0092378753,8.0046189,256.07382,16.018454
867,-0.0092272203,8.0046136,256.07373,16.018433
868,-0.0092165899,8.0046083,256.07365,16.018412
869,-0.0092059839,8.004603,256.07356,16.018391
870,-0.0091954023,8.0045977,256.07348,16.01837
871,-0.009184845,8.0045924,256.07339,16.018349
872,-0.0091743119,8.0045872,256.07331,16.018328
873,-0.009163803,8.0045819,256.07323,16.018307
874,-0.0091533181,8.0045767,256.07314,16.018286
875,-0.0091428571,8.0045714,256.07306,16.018265
876,-0.0091324201,8.0045662,256.07298,16.018244
877,-0.0091220068,8.004561,256.07289,16.018223
878,-0.0091116173,8.0045558,256.07281,16.018202
879,-0.0091012514,8.0045506,256.07273,16.018182
880,-0.0090909091,8.0045455,256.07264,16.018161
881,-0.0090805902,8.0045403,256.07256,16.018141
882,-0.0090702948,8.0045351,256.07248,16.01812
883,-0.0090600227,8.00453,256.0724,16.0181
884,-0.0090497738,8.0045249,256.07232,16.018079
885,-0.009039548,8.0045198,256.07223,16.018059
886,-0.0090293454,8.0045147,256.07215,16.018038
887,-0.0090191657,8.0045096,256.07207,16.018018
888,-0.009009009,8.0045045,256.07199,16.017998
889,-0.0089988751,8.0044994,256.07191,16.017978
890,-0.008988764,8.0044944,256.07183,16.017957
891,-0.0089786756,8.0044893,256.07175,16.017937
892,-0.0089686099,8.0044843,256.07167,16.017917
893,-0.0089585666,8.0044793,256.07159,16.017897
894,-0.0089485459,8.0044743,256.07151,16.017877
895,-0.0089385475,8.0044693,256.07143,16.017857
896,-0.0089285714,8.0044643,256.07135,16.017837
897,-0.0089186176,8.0044593,256.07127,16.017817
898,-0.008908686,8.0044543,256.07119,16.017798
899,-0.0088987764,8.0044494,256.07111,16.017778
900,-0.0088888889,8.0044444,256.07103,16.017758
901,-0.0088790233,8.0044395,256.07095,16.017738
902,-0.0088691796,8.0044346,256.07087,16.017719
903,-0.0088593577,8.0044297,256.0708,16.017699
904,-0.0088495575,8.0044248,256.07072,16.01768
905,-0.008839779,8.0044199,256.07064,16.01766
906,-0.0088300221,8.004415,256.07056,16.017641
907,-0.0088202867,8.0044101,256.07048,16.017621
908,-0.0088105727,8.0044053,256.07041,16.017602
909,-0.0088008801,8.0044004,256.07033,16.017582
910,-0.0087912088,8.0043956,256.07025,16.017563
911,-0.0087815587,8.0043908,256.07018,16.017544
912,-0.0087719298,8.004386,256.0701,16.017525
913,-0.008762322,8.0043812,256.07002,16.017505
914,-0.0087527352,8.0043764,256.06995,16.017486
915,-0.0087431694,8.0043716,256.06987,16.017467
916,-0.0087336245,8.0043668,256.06979,16.017448
917,-0.0087241003,8.0043621,256.06972,16.017429
918,-0.0087145969,8.0043573,256.06964,16.01741
919,-0.0087051143,8.0043526,256.06957,16.017391
920,-0.0086956522,8.0043478,256.06949,16.017372
921,-0.0086862106,8.0043431,256.06941,16.017354
922,-0.0086767896,8.0043384,256.06934,16.017335
923,-0.0086673889,8.0043337,256.06926,16.017316
924,-0.0086580087,8.004329,256.06919,16.017297
925,-0.0086486486,8.0043243,256.06911,16.017279
926,-0.0086393089,8.0043197,256.06904,16.01726
927,-0.0086299892,8.004315,256.06897,16.017241
928,-0.0086206897,8.0043103,256.06889,16.017223
929,-0.0086114101,8.0043057,256.06882,16.017204
930,-0.0086021505,8.0043011,256.06874,16.017186
931,-0.0085929108,8.0042965,256.06867,16.017167
932,-0.008583691,8.0042918,256.0686,16.017149
933,-0.0085744909,8.0042872,256.06852,16.017131
934,-0.0085653105,8.0042827,256.06845,16.017112
935,-0.0085561497,8.0042781,256.06838,16.017094
936,-0.0085470085,8.0042735,256.0683,16.017076
